ID;UF;LON;LAT;ANNUAL
155;RS;-527.490;-322.005;4409
156;RS;-526.490;-322.005;4395
157;RS;-525.490;-322.005;4385
158;RS;-524.490;-322.005;4377
159;RS;-523.490;-322.005;4386
160;RS;-522.490;-322.005;4409
161;RS;-521.490;-322.005;4423
162;RS;-520.490;-322.005;4476
163;RS;-538.490;-321.005;4489
164;RS;-537.490;-321.005;4471
165;RS;-536.490;-321.005;4464
166;RS;-535.490;-321.005;4426
167;RS;-534.490;-321.005;4398
168;RS;-533.490;-321.005;4366
169;RS;-532.490;-321.005;4351
170;RS;-531.490;-321.005;4338
171;RS;-530.490;-321.005;4327
172;RS;-529.490;-321.005;4346
173;RS;-528.490;-321.005;4357
174;RS;-527.490;-321.005;4377
175;RS;-526.490;-321.005;4371
176;RS;-525.490;-321.005;4374
177;RS;-524.490;-321.005;4364
178;RS;-523.490;-321.005;4372
179;RS;-522.490;-321.005;4370
180;RS;-521.490;-321.005;4371
181;RS;-520.490;-321.005;4413
182;RS;-519.490;-321.005;4452
183;RS;-539.490;-320.005;4488
184;RS;-538.490;-320.005;4485
185;RS;-537.490;-320.005;4484
186;RS;-536.490;-320.005;4473
187;RS;-535.490;-320.005;4445
188;RS;-534.490;-320.005;4415
189;RS;-533.490;-320.005;4377
190;RS;-532.490;-320.005;4353
191;RS;-531.490;-320.005;4337
192;RS;-530.490;-320.005;4328
193;RS;-529.490;-320.005;4345
194;RS;-528.490;-320.005;4354
195;RS;-527.490;-320.005;4359
196;RS;-526.490;-320.005;4353
197;RS;-525.490;-320.005;4337
198;RS;-524.490;-320.005;4343
199;RS;-523.490;-320.005;4361
200;RS;-522.490;-320.005;4370
201;RS;-521.490;-320.005;4367
202;RS;-520.490;-320.005;4366
203;RS;-519.490;-320.005;4392
204;RS;-518.490;-320.005;4429
205;RS;-541.490;-319.005;4518
206;RS;-540.490;-319.005;4502
207;RS;-539.490;-319.005;4488
208;RS;-538.490;-319.005;4488
209;RS;-537.490;-319.005;4484
210;RS;-536.490;-319.005;4467
211;RS;-535.490;-319.005;4435
212;RS;-534.490;-319.005;4411
213;RS;-533.490;-319.005;4378
214;RS;-532.490;-319.005;4355
215;RS;-531.490;-319.005;4337
216;RS;-530.490;-319.005;4332
217;RS;-529.490;-319.005;4344
218;RS;-528.490;-319.005;4345
219;RS;-527.490;-319.005;4341
220;RS;-526.490;-319.005;4332
221;RS;-525.490;-319.005;4323
222;RS;-524.490;-319.005;4328
223;RS;-523.490;-319.005;4348
224;RS;-522.490;-319.005;4371
225;RS;-521.490;-319.005;4392
226;RS;-520.490;-319.005;4365
227;RS;-519.490;-319.005;4389
228;RS;-518.490;-319.005;4380
229;RS;-517.490;-319.005;4447
230;RS;-543.490;-318.005;4556
231;RS;-542.490;-318.005;4556
232;RS;-541.490;-318.005;4528
233;RS;-540.490;-318.005;4507
234;RS;-539.490;-318.005;4491
235;RS;-538.490;-318.005;4477
236;RS;-537.490;-318.005;4478
237;RS;-536.490;-318.005;4486
238;RS;-535.490;-318.005;4452
239;RS;-534.490;-318.005;4410
240;RS;-533.490;-318.005;4378
241;RS;-532.490;-318.005;4351
242;RS;-531.490;-318.005;4326
243;RS;-530.490;-318.005;4325
244;RS;-529.490;-318.005;4311
245;RS;-528.490;-318.005;4320
246;RS;-527.490;-318.005;4331
247;RS;-526.490;-318.005;4310
248;RS;-525.490;-318.005;4291
249;RS;-524.490;-318.005;4288
250;RS;-523.490;-318.005;4311
251;RS;-522.490;-318.005;4358
252;RS;-521.490;-318.005;4407
253;RS;-520.490;-318.005;4424
254;RS;-519.490;-318.005;4449
255;RS;-518.490;-318.005;4470
256;RS;-517.490;-318.005;4465
257;RS;-516.490;-318.005;4454
258;RS;-515.490;-318.005;4479
259;RS;-544.490;-317.005;4561
260;RS;-543.490;-317.005;4565
261;RS;-542.490;-317.005;4559
262;RS;-541.490;-317.005;4541
263;RS;-540.490;-317.005;4518
264;RS;-539.490;-317.005;4502
265;RS;-538.490;-317.005;4482
266;RS;-537.490;-317.005;4469
267;RS;-536.490;-317.005;4472
268;RS;-535.490;-317.005;4463
269;RS;-534.490;-317.005;4429
270;RS;-533.490;-317.005;4399
271;RS;-532.490;-317.005;4361
272;RS;-531.490;-317.005;4335
273;RS;-530.490;-317.005;4326
274;RS;-529.490;-317.005;4321
275;RS;-528.490;-317.005;4322
276;RS;-527.490;-317.005;4306
277;RS;-526.490;-317.005;4293
278;RS;-525.490;-317.005;4267
279;RS;-524.490;-317.005;4262
280;RS;-523.490;-317.005;4288
281;RS;-522.490;-317.005;4326
282;RS;-521.490;-317.005;4374
283;RS;-520.490;-317.005;4434
284;RS;-519.490;-317.005;4478
285;RS;-518.490;-317.005;4527
286;RS;-517.490;-317.005;4529
287;RS;-516.490;-317.005;4513
288;RS;-515.490;-317.005;4473
289;RS;-514.490;-317.005;4467
290;RS;-513.490;-317.005;4496
291;RS;-544.490;-316.005;4570
292;RS;-543.490;-316.005;4566
293;RS;-542.490;-316.005;4559
294;RS;-541.490;-316.005;4549
295;RS;-540.490;-316.005;4528
296;RS;-539.490;-316.005;4508
297;RS;-538.490;-316.005;4483
298;RS;-537.490;-316.005;4469
299;RS;-536.490;-316.005;4468
300;RS;-535.490;-316.005;4472
301;RS;-534.490;-316.005;4450
302;RS;-533.490;-316.005;4414
303;RS;-532.490;-316.005;4383
304;RS;-531.490;-316.005;4357
305;RS;-530.490;-316.005;4343
306;RS;-529.490;-316.005;4326
307;RS;-528.490;-316.005;4328
308;RS;-527.490;-316.005;4311
309;RS;-526.490;-316.005;4287
